date,open,high,low,close,volume
2024-03-27,87.95,88.33,87.47,87.76,2365574
2024-03-28,85.71,87.24,84.93,86.34,4634837
2024-03-29,84.34,84.85,84.15,84.83,3979802
2024-04-01,85.04,86.37,84.61,85.9,5114532
2024-04-02,87.73,87.91,87.44,87.69,4490999
2024-04-03,87.71,87.85,87.61,87.62,5524903
2024-04-04,88.6,89.07,87.78,88.98,2501453
2024-04-05,89.33,89.56,89.25,89.49,6316634
2024-04-08,88.72,89.07,88.5,88.65,3608489
2024-04-09,89.18,89.74,88.57,89.16,9226869
2024-04-10,91.77,92.8,89.65,91.27,2316125
2024-04-11,91.43,91.98,91.08,91.25,7787122
2024-04-12,93.72,94.35,92.87,93.44,3609050
2024-04-15,90.19,90.7,88.81,89.87,2360280
2024-04-16,90.98,91.59,90.18,91.01,2566508
2024-04-17,91.15,91.61,90.91,91.16,2785189
2024-04-18,90.64,91.23,90.47,90.78,4041324
2024-04-19,90.81,90.94,90.47,90.93,4245702
2024-04-22,87.16,88.92,86.68,88.28,2453803
2024-04-23,88.02,88.07,87.89,88.02,3229450
2024-04-24,88.68,89.0,88.34,88.52,9541251
2024-04-25,90.99,91.24,90.2,90.53,7754404
2024-04-26,89.73,89.96,89.25,89.86,4065965
2024-04-29,89.15,89.39,88.21,88.8,3331728
2024-04-30,87.9,88.39,87.56,88.16,3471216
2024-05-01,89.58,89.7,89.36,89.41,4442638
2024-05-02,89.86,90.28,89.53,89.88,1960291
2024-05-03,89.3,89.78,88.85,89.19,2874277
2024-05-06,89.91,90.08,89.67,89.91,1419347
2024-05-07,89.99,90.24,89.32,90.07,3991236
2024-05-08,91.63,91.78,91.04,91.41,4518081
2024-05-09,90.64,90.82,90.29,90.48,2567406
2024-05-10,89.75,90.23,89.36,90.06,7181317
2024-05-13,89.86,90.6,89.24,89.56,1771110
2024-05-14,88.18,88.63,87.38,87.64,1571926
2024-05-15,87.88,88.57,87.53,88.06,3657264
2024-05-16,87.99,88.58,87.78,88.43,5518127
2024-05-17,88.2,88.69,87.85,88.47,7587129
2024-05-20,87.97,89.22,87.23,88.18,2598793
2024-05-21,86.4,86.95,86.07,86.36,5605957
2024-05-22,85.02,85.95,84.55,85.84,3206677
2024-05-23,85.02,85.44,84.89,85.42,2998690
2024-05-24,83.91,85.1,83.59,84.43,5085123
2024-05-27,84.01,84.26,83.05,84.25,4529678
2024-05-28,84.32,84.98,83.77,84.79,1486305
2024-05-29,87.08,87.47,86.79,87.24,6839807
2024-05-30,87.84,88.08,87.46,87.5,6517788
2024-05-31,87.85,88.23,87.67,87.86,2390991
2024-06-03,88.44,88.87,87.0,87.79,3984417
2024-06-04,84.83,85.4,83.66,85.33,4184990
2024-06-05,85.32,85.59,85.23,85.32,3724104
2024-06-06,85.59,85.89,85.35,85.42,2482675
2024-06-07,88.73,88.95,88.15,88.66,2336555
2024-06-10,88.48,88.59,88.1,88.44,3227514
2024-06-11,88.78,88.87,88.7,88.86,5875868
2024-06-12,88.64,88.91,88.28,88.84,4290011
2024-06-13,87.26,87.87,87.0,87.33,2716059
2024-06-14,88.6,88.88,87.52,88.86,4808276
2024-06-17,89.38,90.26,88.93,89.9,786799
2024-06-18,91.53,99.26,89.84,98.28,23223544
2024-06-19,90.05,90.48,89.42,89.79,1369755
2024-06-20,92.3,93.31,91.0,91.73,2727182
2024-06-21,90.08,90.4,89.76,89.85,1867600
2024-06-24,90.86,91.3,90.63,90.67,1711120
2024-06-25,93.2,93.86,92.9,93.72,5841004
2024-06-26,92.07,93.99,91.12,92.37,2587362
2024-06-27,91.03,92.21,90.5,91.62,3887403
2024-06-28,92.15,92.4,91.67,91.78,3193217
2024-07-01,91.11,91.55,90.81,91.12,4149591
2024-07-02,88.85,90.56,88.33,89.05,3397026
2024-07-03,89.2,89.54,87.99,89.17,1721151
2024-07-04,88.02,88.32,87.21,87.78,5379647
2024-07-05,88.51,88.54,88.39,88.44,2553873
2024-07-08,87.26,87.49,86.35,87.25,1501100
2024-07-09,89.1,90.67,88.41,89.33,2639083
2024-07-10,88.47,88.99,88.08,88.31,6923139
2024-07-11,87.78,88.32,86.74,87.91,5000812
2024-07-12,89.35,89.66,88.84,89.02,2746049
2024-07-15,86.78,87.76,86.37,87.42,2745218
2024-07-16,88.33,88.67,87.57,87.74,2783396
2024-07-17,89.82,90.82,89.31,89.51,9233733
2024-07-18,86.42,88.23,85.52,87.4,3956885
2024-07-19,87.82,88.0,87.63,87.67,4053214
2024-07-22,88.64,89.25,87.88,88.04,5471928
2024-07-23,89.41,90.07,88.61,89.1,3683576
2024-07-24,86.55,87.57,86.2,87.49,2871884
2024-07-25,86.21,86.65,85.03,85.8,2963332
2024-07-26,86.78,87.61,86.32,86.5,3154054
2024-07-29,86.48,87.33,86.15,86.92,3208739
2024-07-30,86.79,87.27,85.47,87.27,4703487
2024-07-31,87.77,87.78,87.71,87.75,3355035
2024-08-01,87.11,87.2,86.88,86.89,4715285
2024-08-02,87.51,87.65,87.2,87.21,3139712
2024-08-05,88.01,88.37,87.49,87.63,3400107
2024-08-06,86.72,86.82,86.62,86.72,1203686
2024-08-07,88.92,89.29,88.8,89.21,5168865
2024-08-08,89.81,90.24,89.48,89.87,3887373
2024-08-09,88.5,88.81,88.28,88.3,5384338
2024-08-12,89.24,90.01,88.82,89.2,768251
2024-08-13,88.44,89.01,87.43,87.94,9287568
2024-08-14,89.42,89.92,88.93,89.01,3048637
2024-08-15,90.52,90.84,90.41,90.59,5689263
2024-08-16,88.97,90.05,88.44,89.51,1943589
2024-08-19,90.78,91.97,88.92,90.84,4440985
2024-08-20,90.85,91.52,90.64,91.43,1930505
2024-08-21,92.95,93.47,91.67,92.6,2393136
2024-08-22,94.53,95.35,93.72,95.3,8512239
2024-08-23,95.61,96.54,94.72,94.98,2971741
2024-08-26,94.55,95.26,93.66,93.94,3644451
2024-08-27,92.53,92.9,91.68,92.72,5050682
2024-08-28,91.57,92.33,91.05,91.62,4188448
2024-08-29,91.51,92.01,90.73,91.54,3524360
2024-08-30,91.99,93.05,90.75,92.04,3923444
2024-09-02,92.26,93.16,91.76,92.45,10872071
2024-09-03,93.74,94.14,92.68,93.63,3176182
2024-09-04,94.04,94.47,93.14,93.68,3614808
2024-09-05,96.22,97.12,94.91,95.77,5527947
2024-09-06,95.95,96.32,95.02,95.42,5681710
2024-09-09,100.48,101.05,99.03,99.42,5918035
2024-09-10,100.16,100.61,99.41,100.39,4498997
2024-09-11,99.37,99.71,98.57,99.14,1845936
2024-09-12,98.24,98.76,97.4,97.59,7397966
2024-09-13,98.25,98.38,98.03,98.33,1842856
2024-09-16,98.52,99.3,97.47,98.03,3803064
2024-09-17,99.7,100.21,98.76,99.11,2241962
2024-09-18,100.05,101.21,99.56,99.85,3165845
2024-09-19,99.55,99.81,98.84,99.77,3853071
2024-09-20,98.52,98.84,97.69,98.54,3838831
2024-09-23,95.99,96.38,95.88,96.35,4036789
2024-09-24,96.7,97.32,95.29,95.74,7325380
2024-09-25,96.85,97.08,96.77,97.01,4101105
2024-09-26,97.6,98.36,97.09,97.35,2893338
2024-09-27,95.57,96.09,94.62,95.57,5293782
2024-09-30,95.44,96.13,95.14,95.85,5925260
2024-10-01,96.89,97.16,96.29,96.44,1769479
2024-10-02,95.35,95.59,94.8,95.19,4406979
2024-10-03,95.45,96.25,94.64,95.44,4641677
2024-10-04,95.14,95.6,95.02,95.55,2817099
2024-10-07,93.56,94.68,92.9,93.96,6503515
2024-10-08,94.41,95.24,86.06,86.93,15163625
2024-10-09,95.53,95.7,94.86,95.32,3480854
2024-10-10,96.73,97.32,95.92,96.91,2998024
2024-10-11,97.82,99.11,97.1,98.48,3294580
2024-10-14,95.87,96.58,94.89,96.5,1889574
2024-10-15,94.98,95.97,93.89,95.18,1591161
2024-10-16,96.18,96.37,95.78,95.95,7255370
2024-10-17,96.91,97.64,96.64,96.72,2140434
2024-10-18,98.36,99.03,97.07,97.5,1991311
2024-10-21,103.19,103.36,103.0,103.33,1113818
2024-10-22,104.69,104.83,104.22,104.25,2375026
2024-10-23,105.59,106.25,105.13,106.07,1686987
2024-10-24,107.65,107.73,107.53,107.63,7429785
2024-10-25,108.84,108.91,108.59,108.72,5416219
2024-10-28,108.15,108.77,107.93,108.24,2317326
2024-10-29,110.01,110.18,109.46,109.51,10081553
2024-10-30,108.46,108.74,108.02,108.28,5340782
2024-10-31,106.93,108.43,106.45,107.93,2778951
2024-11-01,106.55,107.42,106.02,107.18,936867
2024-11-04,108.34,109.32,106.71,107.34,10277537
2024-11-05,111.38,112.52,111.02,111.17,1631831
2024-11-06,108.71,109.31,107.97,108.13,1435897
2024-11-07,109.86,110.72,109.27,109.28,5450866
2024-11-08,106.7,106.92,106.41,106.7,11071404
2024-11-11,105.74,106.47,105.53,105.98,6531429
2024-11-12,107.77,108.03,107.09,107.76,4333796
2024-11-13,109.94,110.55,107.73,107.9,4401153
2024-11-14,106.76,107.15,105.37,106.2,5008804
2024-11-15,105.05,105.2,104.75,105.1,4777673
2024-11-18,105.39,107.02,104.76,106.21,3762505
2024-11-19,105.67,106.43,104.21,105.08,3443849
2024-11-20,105.18,105.62,105.05,105.45,3168292
2024-11-21,105.52,106.2,105.34,105.56,2242311
2024-11-22,104.53,105.75,103.74,104.56,2840988
2024-11-25,107.56,108.57,106.57,108.01,1402155
2024-11-26,109.4,110.02,108.19,109.08,3112168
2024-11-27,106.11,107.27,104.29,105.84,1994102
2024-11-28,105.94,106.92,105.09,106.17,1882677
2024-11-29,104.82,105.16,104.63,105.15,3576685
2024-12-02,107.54,107.8,106.52,106.54,6556720
2024-12-03,105.1,105.38,104.88,105.31,5174008
2024-12-04,105.18,105.89,104.55,105.16,1490690
2024-12-05,106.27,107.29,105.84,105.99,1993068
2024-12-06,107.52,107.88,106.76,107.41,5232426
2024-12-09,105.87,106.4,105.01,105.53,2000197
2024-12-10,104.29,105.19,103.85,105.03,2921721
2024-12-11,103.92,105.05,103.55,104.32,4303873
2024-12-12,103.59,104.47,102.21,103.33,2014391
2024-12-13,106.26,106.92,105.31,106.13,3445872
2024-12-16,106.83,108.45,105.91,106.81,1677788
2024-12-17,105.56,106.02,104.05,104.84,2420092
2024-12-18,104.88,106.81,104.09,106.33,3835809
